;Modality;ST;TT;Language_pair;Genre;CS;UCP;ErrorPoints;Kudos;Words;C.I.;BERT score;BLEURT;COMET;BLEU;chrF2;TER;COMETKiwi;LiTransProQA;MetricX24
En_Poem_HT_NL;HT;English;Dutch;EN-NL;Poem;12;24;3;3;173;50;;;;;;;77,89;22,571429;
En_Poem_MT_NL;MT;English;Dutch;EN-NL;Poem;5;24;48;1;173;-6,334296724;86,4;69,3;80;29,9;55,7;45,4;75,3;22,571429;2,81062513
En_Poem_PE_NL;PE;English;Dutch;EN-NL;Poem;8;24;8;4;173;31,02119461;89,3;71,4;83;38,1;59,6;39,8;78,63;21,657143;2,795316706
En_St_HT_NL;HT;English;Dutch;EN-NL;ShortStory;19;23;8;3;190;79,9771167;;;;;;;76,61;22,571429;
En_St_MT_NL;MT;English;Dutch;EN-NL;ShortStory;2;23;109;1;190;-48,14645309;81,2;66,4;82;27,7;50,2;62,3;82,12;21,671429;2,457528225
En_St_PE_NL;PE;English;Dutch;EN-NL;ShortStory;10;23;5;2;190;42,42562929;85,5;69,8;83,5;37,6;55,5;62,3;82,08;19,314286;2,223756254
En_Th_HT_NL;HT;English;Dutch;EN-NL;Thriller;12;20;6;1;154;56,75324675;;;;;;;75,46;21,628571;
En_Th_MT_NL;MT;English;Dutch;EN-NL;Thriller;5;20;29;1;154;6,818181818;85;68,3;77,9;36,5;56,6;49,7;75,18;19,942857;3,468148712
En_Th_PE_NL;PE;English;Dutch;EN-NL;Thriller;5;20;18;0;154;13,31168831;86,9;70,3;80,8;37,6;57,9;49,1;79,4;16,671429;2,954087545
Ru_Poem_HT_NL;HT;Russian;Dutch;RU-NL;Poem;18;25;29;2;99;44,72727273;;;;;;;50,16;16,771429;
Ru_Poem_MT_NL;MT;Russian;Dutch;RU-NL;Poem;7;25;176;0;99;-149,7777778;59,5;28,1;63,8;2,7;23;100,9;54,52;17,642857;6,776090069
Ru_Poem_PE_NL;PE;Russian;Dutch;RU-NL;Poem;16;25;23;0;99;40,76767677;58,3;24,6;59,9;7,2;20;101,8;47,42;15,828571;9,217318514
Ru_St_HT_NL;HT;Russian;Dutch;RU-NL;ShortStory;10;12;4;3;161;82,71221532;;;;;;;73,84;21,642857;
Ru_St_MT_NL;MT;Russian;Dutch;RU-NL;ShortStory;3;12;18;2;161;15,0621118;78,3;72,4;78,9;25,2;53,5;59,1;70,3;21,685714;2,429863856
Ru_St_PE_NL;PE;Russian;Dutch;RU-NL;ShortStory;7;12;18;2;161;48,39544513;76,9;68,6;77,9;21,8;53,3;62,1;71,79;22,571429;3,136695996
Ru_Th_HT_NL;HT;Russian;Dutch;RU-NL;Thriller;10;17;9;0;151;52,86326451;;;;;;;71,17;21,685714;
Ru_Th_MT_NL;MT;Russian;Dutch;RU-NL;Thriller;4;17;63;1;151;-17,53019088;66,6;50,3;77,1;15,5;43,4;68,5;66,64;22,571429;3,320040844
Ru_Th_PE_NL;PE;Russian;Dutch;RU-NL;Thriller;5;17;35;2;151;7,55746007;69,7;55,3;80,3;31,9;53,8;51,4;69,97;21,671429;2,61523871
En_Poem_HT_CA;HT;English;Catalan;EN-CA;Poem;12;24;9;2;173;45,95375723;;;;;;;58,53;22,571429;
En_Poem_MT_CA;MT;English;Catalan;EN-CA;Poem;6;24;36;0;173;4,190751445;81,1;49;70,6;18,6;39,9;77,7;69,72;22,142857;6,31289045
En_Poem_PE_CA;PE;English;Catalan;EN-CA;Poem;10;24;11;0;173;35,30828516;79,8;44,3;68;17,8;40,3;76,4;60,77;22,142857;7,138740559
En_St_HT_CA;HT;English;Catalan;EN-CA;ShortStory;7;23;3;3;190;30,43478261;;;;;;;70,9;20,314286;
En_St_MT_CA;MT;English;Catalan;EN-CA;ShortStory;1;23;115;0;190;-56,1784897;83,8;61,5;81;24,7;47,3;63,5;77,4;22,571429;4,33004508
En_St_PE_CA;PE;English;Catalan;EN-CA;ShortStory;3;23;19;2;190;4,09610984;85,1;69,3;81,8;29,8;52,3;56,5;72,06;22,114286;3,71864661
En_Th_HT_CA;HT;English;Catalan;EN-CA;Thriller;3;20;4;2;154;13,7012987;;;;;;;61,34;0,985714;
En_Th_MT_CA;MT;English;Catalan;EN-CA;Thriller;0;20;66;0;154;-42,85714286;74,8;34,3;54,8;0,5;17,8;109,7;67,1;18,928571;4,530824886
En_Th_PE_CA;PE;English;Catalan;EN-CA;Thriller;2;20;7;1;154;6,103896104;73,1;30,3;52,9;0,4;18,1;111;63,66;"22,571429	";5,569993642
